t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
0.88,0.0696670728162166,0,0,0.0696670728162166,0,0,0.363813245509892,-0,-0
0.89,0.0707287128742706,0,0,0.0707287128742706,0,0,0.358827366912302,-0,-0
0.9,0.071789358763667,0,0,0.071789358763667,0,0,0.353920627192127,-0,-0
0.91,0.072848888574681,0,0,0.072848888574681,0,0,0.349091655280838,-0,-0
0.92,0.0739071835568282,0,0,0.0739071835568282,0,0,0.344339103871343,-0,-0
0.93,0.074964128118864,0,0,0.074964128118864,0,0,0.339661649417988,-0,-0
0.94,0.0760196098287844,0,0,0.0760196098287844,0,0,0.335057992136554,-0,-0
0.95,0.0770735189824323,0,0,0.0770735189824323,0,0,0.33052685298934,-0,-0
0.96,0.0781257502294628,0,0,0.0781257502294628,0,0,0.326066983992383,-0,-0
0.97,0.0791762037407379,0,0,0.0791762037407379,0,0,0.321677176613099,-0,-0
0.98,0.0802247820733659,0,0,0.0802247820733659,0,0,0.317356240996999,-0,-0
0.99,0.0812713900616858,0,0,0.0812713900616858,0,0,0.313103005233334,-0,-0
1,0.0823159348172673,0,0,0.0823159348172673,0,0,0.308916315355089,-0,-0
1.01,0.0833583257289109,0,0,0.0833583257289109,0,0,0.304795035338991,-0,-0
1.02,0.0843984744626479,0,0,0.0843984744626478,0,0,0.300738047105505,-0,-0
1.03,0.0854362949617401,0,0,0.0854362949617401,0,0,0.296744250518833,-0,-0
1.04,0.0864717034466803,0,0,0.0864717034466803,0,0,0.292812563386919,-0,-0
1.05,0.0875046184151919,0,0,0.0875046184151919,0,0,0.288941921461441,-0,-0
1.06,0.0885349606422291,0,0,0.0885349606422291,0,0,0.285131278437818,-0,-0
1.07,0.0895626531799768,0,0,0.0895626531799768,0,0,0.281379605955208,-0,-0
1.08,0.0905876213578507,0,0,0.0905876213578507,0,0,0.277685893596507,-0,-0
1.09,0.0916097927824972,0,0,0.0916097927824972,0,0,0.274049148888348,-0,-0
1.1,0.0926290971664022,0,0,0.0926290971664022,0,0,0.270468396083867,-0,-0
1.11,0.0936454665637582,0,0,0.0936454665637582,0,0,0.266942677142427,-0,-0
1.12,0.0946588380073373,0,0,0.0946588380073373,0,0,0.263471070087942,-0,-0
1.13,0.0956691505716405,0,0,0.0956691505716405,0,0,0.260052669371618,-0,-0
1.14,0.0966763449203589,0,0,0.0966763449203589,0,0,0.25668658276644,-0,-0
1.15,0.0976803633063736,0,0,0.0976803633063736,0,0,0.253371931367168,-0,-0
1.16,0.0986811495717553,0,0,0.0986811495717553,0,0,0.250107849590341,-0,-0
1.17,0.0996786491477653,0,0,0.0996786491477653,0,0,0.246893485174274,-0,-0
1.18,0.100672809054854,0,0,0.100672809054854,0,0,0.243727999179057,-0,-0
1.19,0.101663577902663,0,0,0.101663577902663,0,0,0.24061056598656,-0,-0
1.2,0.102650905890022,0,0,0.102650905890022,0,0,0.237540373300427,-0,-0
1.21,0.103634744804953,0,0,0.103634744804953,0,0,0.23451662214608,-0,-0
1.22,0.104615048024665,0,0,0.104615048024665,0,0,0.231538526870718,-0,-0
1.23,0.10559177051556,0,0,0.10559177051556,0,0,0.228605315143317,-0,-0
1.24,0.106564868833229,0,0,0.106564868833229,0,0,0.22571622795463,-0,-0
1.25,0.107534301122451,0,0,0.107534301122451,0,0,0.222870519617184,-0,-0
1.26,0.108500027078187,0,0,0.108500027078187,0,0,0.220067457480515,-0,-0
1.27,0.109462007619763,0,0,0.109462007619763,0,0,0.21730631905448,-0,-0
1.28,0.110420207572998,0,0,0.110420207572998,0,0,0.214586410858854,-0,-0
1.29,0.111374593677661,0,0,0.111374593677661,0,0,0.211907055108407,-0,-0
1.3,0.112325133735989,0,0,0.112325133735989,0,0,0.209267583716508,-0,-0
1.31,0.113271796612683,0,0,0.113271796612683,0,0,0.206667338295128,-0,-0
1.32,0.114214552234911,0,0,0.114214552234911,0,0,0.204105670154841,-0,-0
1.33,0.115153371592306,0,0,0.115153371592306,0,0,0.201581940304821,-0,-0
1.34,0.116088226736969,0,0,0.116088226736969,0,0,0.199095519452843,-0,-0
1.35,0.117019090783465,0,0,0.117019090783465,0,0,0.196645788005287,-0,-0
1.36,0.117945937908826,0,0,0.117945937908826,0,0,0.19423213606713,-0,-0
1.37,0.11886874335255,0,0,0.11886874335255,0,0,0.191853963441954,-0,-0
1.38,0.119787483416601,0,0,0.119787483416601,0,0,0.189510679631941,-0,-0
1.39,0.12070213546541,0,0,0.12070213546541,0,0,0.187201703837876,-0,-0
1.4,0.121612677925871,0,0,0.121612677925872,0,0,0.184926464959144,-0,-0
1.41,0.122519090287349,0,0,0.122519090287349,0,0,0.182684401593733,-0,-0
1.42,0.123421353101669,0,0,0.123421353101669,0,0,0.18047496203823,-0,-0
1.43,0.124319447983128,0,0,0.124319447983128,0,0,0.178297604287828,-0,-0
1.44,0.12521335727694,0,0,0.12521335727694,0,0,0.176151793265111,-0,-0
1.45,0.126103065634302,0,0,0.126103065634302,0,0,0.174037011674146,-0,-0
1.46,0.126988559945097,0,0,0.126988559945097,0,0,0.171952760531756,-0,-0
1.47,0.12786982777777,0,0,0.12786982777777,0,0,0.169898547832726,-0,-0
1.48,0.128746857369089,0,0,0.128746857369089,0,0,0.167873888472542,-0,-0
1.49,0.129619637624144,0,0,0.129619637624144,0,0,0.165878304247386,-0,-0
1.5,0.13048815811635,0,0,0.13048815811635,0,0,0.16391132385414,-0,-0
1.51,0.131352409087443,0,0,0.131352409087443,0,0,0.161972482890382,-0,-0
1.52,0.132212381447483,0,0,0.132212381447483,0,0,0.160061323854391,-0,-0
1.53,0.133068066774854,0,0,0.133068066774854,0,0,0.158177396145143,-0,-0
1.54,0.133919457316262,0,0,0.133919457316262,0,0,0.156320256062311,-0,-0
1.55,0.134766545986735,0,0,0.134766545986735,0,0,0.154489466806268,-0,-0
1.56,0.135609326369626,0,0,0.135609326369626,0,0,0.152684598478085,-0,-0
1.57,0.136447792716611,0,0,0.136447792716611,0,0,0.150905228079529,-0,-0
1.58,0.137281939947686,0,0,0.137281939947686,0,0,0.149150939513069,-0,-0
1.59,0.138111763651174,0,0,0.138111763651174,0,0,0.147421323581869,-0,-0
1.6,0.138937260083719,0,0,0.138937260083719,0,0,0.145715977989793,-0,-0
1.61,0.139758426170288,0,0,0.139758426170288,0,0,0.144034507341402,-0,-0
1.62,0.140575259460531,0,0,0.140575259460531,0,0,0.142376522775992,-0,-0
1.63,0.141387758016757,0,0,0.141387758016757,0,0,0.14074164018094,-0,-0
1.64,0.142195922277762,0,0,0.142195922277762,0,0,0.139129494808445,-0,-0
1.65,0.142999753541205,0,0,0.142999753541205,0,0,0.137539730410342,-0,-0
1.66,0.143799253486409,0,0,0.143799253486409,0,0,0.1359719955147,-0,-0
1.67,0.14459442417436,0,0,0.14459442417436,0,0,0.134425943425819,-0,-0
1.68,0.145385268047712,0,0,0.145385268047712,0,0,0.132901232224236,-0,-0
1.69,0.146171787930784,0,0,0.146171787930783,0,0,0.131397524766717,-0,-0
1.7,0.146953987029557,0,0,0.146953987029557,0,0,0.12991448868626,-0,-0
1.71,0.14773186893168,0,0,0.14773186893168,0,0,0.1284517963921,-0,-0
1.72,0.148505437606467,0,0,0.148505437606467,0,0,0.127009125069701,-0,-0
1.73,0.149274697404895,0,0,0.149274697404895,0,0,0.125586156680763,-0,-0
1.74,0.150039653059609,0,0,0.150039653059609,0,0,0.124182577963214,-0,-0
1.75,0.150800309684917,0,0,0.150800309684917,0,0,0.12279808043122,-0,-0
1.76,0.151556672776793,0,0,0.151556672776793,0,0,0.121432360375177,-0,-0
1.77,0.152308748212874,0,0,0.152308748212874,0,0,0.120085118861715,-0,-0
1.78,0.153056542252466,0,0,0.153056542252466,0,0,0.118756061733695,-0,-0
1.79,0.153800061536538,0,0,0.153800061536538,0,0,0.117444899610213,-0,-0
1.8,0.154539313087722,0,0,0.154539313087722,0,0,0.116151347886597,-0,-0
1.81,0.155274304310319,0,0,0.155274304310319,0,0,0.114875126734407,-0,-0
1.82,0.15600504297768,0,0,0.15600504297768,0,0,0.11361596099411,-0,-0
1.83,0.156731536706838,0,0,0.156731536706838,0,0,0.112373575165319,-0,-0
1.84,0.157453795030521,0,0,0.157453795030521,0,0,0.111147709944335,-0,-0
1.85,0.158171828500881,0,0,0.158171828500881,0,0,0.109938116034545,-0,-0
1.86,0.158885647841691,0,0,0.158885647841691,0,0,0.10874454726434,-0,-0
1.87,0.15959526394835,0,0,0.15959526394835,0,0,0.10756676058711,-0,-0
1.88,0.160300687887882,0,0,0.160300687887882,0,0,0.106404516081249,-0,-0
1.89,0.161001930898932,0,0,0.161001930898932,0,0,0.105257576950153,-0,-0
1.9,0.161699004391769,0,0,0.161699004391769,0,0,0.104125709522218,-0,-0
1.91,0.162391919948289,0,0,0.162391919948289,0,0,0.103008683250843,-0,-0
1.92,0.163080689322008,0,0,0.163080689322008,0,0,0.101906270714429,-0,-0
1.93,0.163765324438067,0,0,0.163765324438067,0,0,0.100818247616378,-0,-0
1.94,0.164445837393232,0,0,0.164445837393232,0,0,0.0997443927850956,-0,-0
1.95,0.165122240455892,0,0,0.165122240455892,0,0,0.0986844881739867,-0,-0
1.96,0.165794546066058,0,0,0.165794546066058,0,0,0.0976383188614605,-0,-0
