t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
1.48,0.145684334165126,0,0,0.145684334165126,0,0,0.13827025496048,-0,-0
1.49,0.146612485641837,0,0,0.146612485641837,0,0,0.136013589389218,-0,-0
1.5,0.147535028942634,0,0,0.147535028942634,0,0,0.133794262024344,-0,-0
1.51,0.148451959968398,0,0,0.148451959968398,0,0,0.131611645710819,-0,-0
1.52,0.149363275589842,0,0,0.149363275589842,0,0,0.129465123547292,-0,-0
1.53,0.150268973647518,0,0,0.150268973647518,0,0,0.127354088886104,-0,-0
1.54,0.151169052950669,0,0,0.151169052950669,0,0,0.125277945324395,-0,-0
1.55,0.152063512832927,0,0,0.152063512832927,0,0,0.123236102465053,-0,-0
1.56,0.152952355364334,0,0,0.152952355364334,0,0,0.121227991226993,-0,-0
1.57,0.153835584427303,0,0,0.153835584427303,0,0,0.11925305904453,-0,-0
1.58,0.154713204466144,0,0,0.154713204466144,0,0,0.117310760796501,-0,-0
1.59,0.155585220487065,0,0,0.155585220487065,0,0,0.115400558806271,-0,-0
1.6,0.156451638058174,0,0,0.156451638058174,0,0,0.113521922841725,-0,-0
1.61,0.157312463309475,0,0,0.157312463309475,0,0,0.111674330115277,-0,-0
1.62,0.158167702932869,0,0,0.158167702932869,0,0,0.109857265283861,-0,-0
1.63,0.159017364182157,0,0,0.159017364182157,0,0,0.108070220448938,-0,-0
1.64,0.159861454873038,0,0,0.159861454873038,0,0,0.106312695156491,-0,-0
1.65,0.160699983383109,0,0,0.160699983383109,0,0,0.104584196397031,-0,-0
1.66,0.161532958651863,0,0,0.161532958651863,0,0,0.102884238605588,-0,-0
1.67,0.162360390180692,0,0,0.162360390180692,0,0,0.10121234366172,-0,-0
1.68,0.163182288032888,0,0,0.163182288032888,0,0,0.0995680408895098,-0,-0
1.69,0.163998662833639,0,0,0.163998662833639,0,0,0.0979508670575613,-0,-0
1.7,0.16480952577003,0,0,0.16480952577003,0,0,0.0963603663790051,-0,-0
1.71,0.165614888591047,0,0,0.165614888591047,0,0,0.0947960905114948,-0,-0
1.72,0.166414763607571,0,0,0.166414763607571,0,0,0.0932575985572089,-0,-0
1.73,0.167209163659206,0,0,0.167209163659206,0,0,0.0917444567892214,-0,-0
1.74,0.167998101394013,0,0,0.167998101394013,0,0,0.0902562317530058,-0,-0
1.75,0.168781592150696,0,0,0.168781592150696,0,0,0.0887925123709518,-0,-0
1.76,0.169559652521561,0,0,0.169559652521561,0,0,0.0873529004716969,-0,-0
1.77,0.170332299353107,0,0,0.170332299353107,0,0,0.0859370030272798,-0,-0
1.78,0.171099549746023,0,0,0.171099549746023,0,0,0.0845444321531437,-0,-0
1.79,0.171861421055195,0,0,0.171861421055195,0,0,0.0831748051081343,-0,-0
1.8,0.172617930889697,0,0,0.172617930889697,0,0,0.0818277442944988,-0,-0
1.81,0.173369097112796,0,0,0.173369097112796,0,0,0.0805028772578892,-0,-0
1.82,0.174114937841954,0,0,0.174114937841954,0,0,0.0791998366873579,-0,-0
1.83,0.174855471448822,0,0,0.174855471448822,0,0,0.0779182604153627,-0,-0
1.84,0.175590716559245,0,0,0.175590716559245,0,0,0.0766577914177625,-0,-0
1.85,0.17632069205326,0,0,0.17632069205326,0,0,0.0754180778138199,-0,-0
1.86,0.177045417065096,0,0,0.177045417065096,0,0,0.0741987728661997,-0,-0
1.87,0.177764910983175,0,0,0.177764910983175,0,0,0.0729995349809696,-0,-0
1.88,0.178479193450111,0,0,0.178479193450111,0,0,0.0718200277076004,-0,-0
1.89,0.17918828436271,0,0,0.17918828436271,0,0,0.0706599197389658,-0,-0
1.9,0.179892203871969,0,0,0.179892203871969,0,0,0.0695188849113423,-0,-0
1.91,0.180590972383081,0,0,0.180590972383081,0,0,0.0683966022044082,-0,-0
1.92,0.181284610555427,0,0,0.181284610555427,0,0,0.0672927557412464,-0,-0
1.93,0.181973139302583,0,0,0.181973139302583,0,0,0.0662070347883414,-0,-0
1.94,0.182656579792317,0,0,0.182656579792317,0,0,0.0651391337555804,-0,-0
1.95,0.18333495321177,0,0,0.18333495321177,0,0,0.0640887496732689,-0,-0
1.96,0.184008281068754,0,0,0.184008281068754,0,0,0.0630555819869515,-0,-0
1.97,0.184676587201773,0,0,0.184676587201773,0,0,0.0620393531641671,-0,-0
1.98,0.185339895699054,0,0,0.185339895699054,0,0,0.0610397909714444,-0,-0
1.99,0.185998230691006,0,0,0.185998230691006,0,0,0.0600566265120725,-0,-0
2,0.186651616350225,0,0,0.186651616350225,0,0,0.0590895942260983,-0,-0
2.01,0.187300076891489,0,0,0.187300076891489,0,0,0.0581384318903285,-0,-0
2.02,0.187943636571761,0,0,0.187943636571761,0,0,0.0572028806183301,-0,-0
2.03,0.18858231969019,0,0,0.18858231969019,0,0,0.0562826848604263,-0,-0
2.04,0.189216150588106,0,0,0.189216150588106,0,0,0.055377592403703,-0,-0
2.05,0.189845153649026,0,0,0.189845153649026,0,0,0.0544873543720019,-0,-0
2.06,0.190469353298651,0,0,0.190469353298651,0,0,0.0536117252259268,-0,-0
2.07,0.191088774004866,0,0,0.191088774004866,0,0,0.0527504627628391,-0,-0
2.08,0.191703440277741,0,0,0.191703440277741,0,0,0.0519033281168593,-0,-0
2.09,0.192313376669528,0,0,0.192313376669528,0,0,0.0510700857588681,-0,-0
2.1,0.192918607774666,0,0,0.192918607774666,0,0,0.0502505034965035,-0,-0
2.11,0.193519158229777,0,0,0.193519158229777,0,0,0.0494443524741646,-0,-0
2.12,0.194115052713669,0,0,0.194115052713669,0,0,0.0486514071730091,-0,-0
2.13,0.194706315947331,0,0,0.194706315947331,0,0,0.0478714454109526,-0,-0
2.14,0.19529297269394,0,0,0.19529297269394,0,0,0.0471042483426725,-0,-0
2.15,0.195875047758856,0,0,0.195875047758856,0,0,0.0463496004596026,-0,-0
2.16,0.196452565989622,0,0,0.196452565989622,0,0,0.0456072895899371,-0,-0
2.17,0.197025552275967,0,0,0.197025552275967,0,0,0.0448771068986299,-0,-0
2.18,0.197594031549804,0,0,0.197594031549804,0,0,0.0441588468873925,-0,-0
2.19,0.19815802878523,0,0,0.19815802878523,0,0,0.0434523073946975,-0,-0
2.2,0.198717569057975,0,0,0.198717569057975,0,0,0.0427572886544846,-0,-0
2.21,0.199272678422803,0,0,0.199272678422803,0,0,0.0420735968515784,-0,-0
2.22,0.199823383658274,0,0,0.199823383658274,0,0,0.0414010516845519,-0,-0
2.23,0.200369711492396,0,0,0.200369711492396,0,0,0.0407394757785177,-0,-0
2.24,0.200911688580355,0,0,0.200911688580355,0,0,0.040088693853463,-0,-0
2.25,0.201449341504521,0,0,0.201449341504521,0,0,0.0394485327242496,-0,-0
2.26,0.201982696774441,0,0,0.201982696774441,0,0,0.0388188213006138,-0,-0
2.27,0.202511780826848,0,0,0.202511780826848,0,0,0.0381993905871659,-0,-0
2.28,0.20303662002565,0,0,0.20303662002565,0,0,0.0375900736833925,-0,-0
2.29,0.203557240661942,0,0,0.203557240661942,0,0,0.0369907057836524,-0,-0
2.3,0.204073668953996,0,0,0.204073668953996,0,0,0.0364011241771802,-0,-0
2.31,0.204585931047266,0,0,0.204585931047266,0,0,0.0358211682480845,-0,-0
2.32,0.205094053014388,0,0,0.205094053014388,0,0,0.035250679475349,-0,-0
2.33,0.205598060855177,0,0,0.205598060855177,0,0,0.0346895014328319,-0,-0
2.34,0.206097980496632,0,0,0.206097980496632,0,0,0.0341374797892655,-0,-0
2.35,0.20659383779293,0,0,0.20659383779293,0,0,0.0335944623082565,-0,-0
2.36,0.207085658525431,0,0,0.207085658525431,0,0,0.0330602988482865,-0,-0
2.37,0.207573468402675,0,0,0.207573468402675,0,0,0.0325348413627118,-0,-0
2.38,0.208057293060383,0,0,0.208057293060383,0,0,0.0320179438997629,-0,-0
2.39,0.208537158061458,0,0,0.208537158061458,0,0,0.0315094626025445,-0,-0
2.4,0.209013088895982,0,0,0.209013088895982,0,0,0.0310092557090366,-0,-0
2.41,0.20948511098122,0,0,0.20948511098122,0,0,0.0305171835520932,-0,-0
2.42,0.209953249661618,0,0,0.209953249661618,0,0,0.030033108559443,-0,-0
2.43,0.210417530208801,0,0,0.210417530208801,0,0,0.0295568952536893,-0,-0
2.44,0.210877977821578,0,0,0.210877977821578,0,0,0.0290884102523091,-0,-0
2.45,0.211334617625935,0,0,0.211334617625935,0,0,0.0286275222676554,-0,-0
2.46,0.211787474675043,0,0,0.211787474675043,0,0,0.0281741021069543,-0,-0
2.47,0.212236574057875,0,0,0.212236574057875,0,0,0.0277280218478049,-0,-0
2.48,0.21268194165151,0,0,0.21268194165151,0,0,0.0272891576522928,-0,-0
2.49,0.213123603500172,0,0,0.213123603500172,0,0,0.0268573961954094,-0,-0
2.5,0.213561585506943,0,0,0.213561585506943,0,0,0.0264326260684943,-0,-0
2.51,0.21399591344893,0,0,0.21399591344893,0,0,0.0260147371112884,-0,-0
2.52,0.214426612977265,0,0,0.214426612977265,0,0,0.0256036204119384,-0,-0
2.53,0.214853709617111,0,0,0.214853709617111,0,0,0.0251991683069954,-0,-0
2.54,0.215277228767653,0,0,0.215277228767653,0,0,0.0248012743814149,-0,-0
2.55,0.215697195702105,0,0,0.215697195702105,0,0,0.024409833468556,-0,-0
2.56,0.216113635567709,0,0,0.216113635567709,0,0,0.0240247416501834,-0,-0
2.57,0.21652657338573,0,0,0.21652657338573,0,0,0.0236458962564651,-0,-0
2.58,0.216936034051463,0,0,0.216936034051463,0,0,0.0232731958659741,-0,-0
2.59,0.217342042334228,0,0,0.217342042334228,0,0,0.0229065403056876,-0,-0
2.6,0.217744622877373,0,0,0.217744622877373,0,0,0.0225458306509871,-0,-0
2.61,0.21814380019827,0,0,0.21814380019827,0,0,0.0221909692256589,-0,-0
2.62,0.21853959868832,0,0,0.21853959868832,0,0,0.0218418596018927,-0,-0
2.63,0.218932042612951,0,0,0.218932042612951,0,0,0.0214984066002835,-0,-0
2.64,0.219321156111616,0,0,0.219321156111616,0,0,0.0211605162898307,-0,-0
2.65,0.219706963197795,0,0,0.219706963197795,0,0,0.0208280959879373,-0,-0
2.66,0.220089487758996,0,0,0.220089487758996,0,0,0.020501054260411,-0,-0
2.67,0.220468753556752,0,0,0.220468753556752,0,0,0.0201793009214651,-0,-0
2.68,0.220844784226623,0,0,0.220844784226623,0,0,0.0198627470337152,-0,-0
2.69,0.221217603278197,0,0,0.221217603278197,0,0,0.0195513049081823,-0,-0
2.7,0.221587234095087,0,0,0.221587234095087,0,0,0.0192448881042922,-0,-0
2.71,0.221953699934934,0,0,0.221953699934934,0,0,0.0189434114298742,-0,-0
2.72,0.222317023929404,0,0,0.222317023929404,0,0,0.0186467909411627,-0,-0
2.73,0.222677229084192,0,0,0.222677229084192,0,0,0.0183549439427961,-0,-0
2.74,0.223034338279017,0,0,0.223034338279017,0,0,0.0180677889878174,-0,-0
2.75,0.223388374267627,0,0,0.223388374267627,0,0,0.0177852458776737,-0,-0
2.76,0.223739359677795,0,0,0.223739359677795,0,0,0.0175072356622165,-0,-0
2.77,0.224087317496948,0,0,0.224087317496948,0,0,0.0172336801925893,-0,-0
2.78,0.224432271235867,0,0,0.224432271235867,0,0,0.0169645074916734,-0,-0
2.79,0.224774243909133,0,0,0.224774243909133,0,0,0.0166996502529583,-0,-0
2.8,0.22511325839134,0,0,0.22511325839134,0,0,0.016439041887689,-0,-0
2.81,0.225449337420104,0,0,0.225449337420104,0,0,0.0161826165116734,-0,-0
2.82,0.225782503596063,0,0,0.225782503596063,0,0,0.0159303089452827,-0,-0
2.83,0.226112779382879,0,0,0.226112779382879,0,0,0.0156820547134502,-0,-0
2.84,0.226440187107236,0,0,0.226440187107236,0,0,0.0154377900456737,-0,-0
2.85,0.226764748958843,0,0,0.226764748958843,0,0,0.0151974518760117,-0,-0
2.86,0.227086486990429,0,0,0.227086486990429,0,0,0.0149609778430869,-0,-0
2.87,0.227405423117747,0,0,0.227405423117747,0,0,0.0147283062900848,-0,-0
2.88,0.227721579119575,0,0,0.227721579119575,0,0,0.0144993762647536,-0,-0
2.89,0.228034976637712,0,0,0.228034976637712,0,0,0.014274127519404,-0,-0
2.9,0.228345637176979,0,0,0.228345637176979,0,0,0.0140525005109103,-0,-0
2.91,0.228653582105221,0,0,0.228653582105221,0,0,0.0138344364007092,-0,-0
2.92,0.228958832653306,0,0,0.228958832653306,0,0,0.0136198770548007,-0,-0
2.93,0.229261409915126,0,0,0.229261409915126,0,0,0.013408765043747,-0,-0
2.94,0.229561334847593,0,0,0.229561334847593,0,0,0.0132010436426737,-0,-0
