Time_s,Signal,Primary,Secondary,TrueAmp,TrueFreq_Primary_Hz,TrueFreq_Secondary_Hz
50.2,0.501183623333162,0.511087575660278,8.19071550410381e-15,0.605318810646224,0.8,5
50.21,0.593240483368021,0.526685924194281,0.0561105285179461,0.605258281791653,0.8,5
50.22,0.665915311506235,0.540950826788469,0.106717895236343,0.605197758989664,0.8,5
50.23,0.707750537214464,0.553846519184009,0.146869893870321,0.605137242239653,0.8,5
50.24,0.729757832081822,0.56534070268582,0.172638650517196,0.605076731541014,0.8,5
50.25,0.75241636236174,0.57540462505103,0.181504868067943,0.605016226893143,0.8,5
50.26,0.763649375530356,0.584013152403422,0.172604126239638,0.604955728295434,0.8,5
50.27,0.738578269009841,0.591144831994082,0.146811157660826,0.604895235747283,0.8,5
50.28,0.713700195269983,0.596781945651573,0.10665388370462,0.604834749248083,0.8,5
50.29,0.647157065305284,0.600910553788396,0.0560656580457196,0.604774268797231,0.8,5
50.3,0.618882189045584,0.603520529854611,1.43976251173737e-14,0.604713794394122,0.8,5
50.31,0.54567233402355,0.604605585153378,-0.0560544460353215,0.604653326038151,0.8,5
50.32,0.490439054769546,0.604163283957729,-0.106611230682288,0.604592863728713,0.8,5
50.33,0.443722396032721,0.602195048892326,-0.146723097386913,0.604532407465204,0.8,5
50.34,0.434797784587558,0.598706156568527,-0.172466098157244,0.604471957247018,0.8,5
50.35,0.409020506502979,0.593705723485788,-0.181323453922066,0.604411513073553,0.8,5
50.36,0.412033189359423,0.587206682236882,-0.172431608386708,0.604351074944202,0.8,5
50.37,0.428788376701146,0.57922574807906,-0.146664419884271,0.604290642858362,0.8,5
50.38,0.452838769130876,0.569783375957452,-0.106547283130104,0.604230216815429,0.8,5
50.39,0.495810108030609,0.558903708091179,-0.0560096204111433,0.604169796814798,0.8,5
50.4,0.545422626401098,0.546614512256544,-3.69408198209508e-14,0.604109382855865,0.8,5
50.41,0.610639768093559,0.532947110924854,0.0559984196071477,0.604048974938025,0.8,5
50.42,0.620674666695052,0.517936301435896,0.106504672739472,0.603988573060676,0.8,5
50.43,0.656183575921162,0.501620267410403,0.146576447626638,0.603928177223212,0.8,5
50.44,0.646913921513612,0.484040481626941,0.172293718263392,0.60386778742503,0.8,5
