Time_s,Position_Z_m,Velocity_Z_m_s
7.1,-0.838506698608398,-0.00380426645278931
7.12,-0.838600158691406,-0.00253915786743164
7.14,-0.838608264923096,-0.000283122062683105
7.16,-0.838611483573914,-0.000782310962677002
7.18,-0.838639557361603,-0.00200569629669189
7.2,-0.838691711425781,-0.00552386045455933
7.22,-0.838860511779785,-0.0107020139694214
7.24,-0.839119791984558,-0.0105097889900208
7.26,-0.839280903339386,-0.00802874565124512
7.28,-0.839440941810608,-0.0091850757598877
7.3,-0.839648306369781,-0.0124275684356689
7.32,-0.839938044548035,-0.0159204006195068
7.34,-0.840285122394562,-0.0180959701538086
7.36,-0.840661883354187,-0.0187456607818604
7.38,-0.841034948825836,-0.0220358371734619
7.4,-0.841543316841125,-0.0281408429145813
7.42,-0.842160582542419,-0.0321760773658752
7.44,-0.84283035993576,-0.0312954187393188
7.46,-0.843412399291992,-0.0264540314674377
7.48,-0.843888521194458,-0.0279441475868225
7.5,-0.844530165195465,-0.0320196151733398
7.52,-0.845169305801392,-0.0327944755554199
7.54,-0.845841944217682,-0.0333607196807861
7.56,-0.846503734588623,-0.0327944755554199
7.58,-0.847153723239899,-0.0317841768264771
7.6,-0.847775101661682,-0.0321373343467712
7.62,-0.84843921661377,-0.0313237309455872
7.64,-0.849028050899506,-0.0255212187767029
7.66,-0.849460065364838,-0.0231042504310608
7.68,-0.849952220916748,-0.0252872705459595
7.7,-0.850471556186676,-0.026315450668335
7.72,-0.851004838943481,-0.0240698456764221
7.74,-0.851434350013733,-0.0209197402000427
7.76,-0.851841628551483,-0.016486644744873
7.78,-0.852093815803528,-0.0131621956825256
7.8,-0.852368116378784,-0.0137805938720703
7.82,-0.852645039558411,-0.0125035643577576
7.84,-0.852868258953094,-0.0093996524810791
7.86,-0.853021025657654,-0.00624209642410278
7.88,-0.853117942810059,-0.0046074390411377
7.9,-0.853205323219299,-0.00421851873397827
7.92,-0.853286683559418,-0.00468194484710693
7.94,-0.853392601013184,-0.0051543116569519
7.96,-0.853492856025696,-0.00292062759399414
7.98,-0.853509426116943,0.00157803297042847
8,-0.853429734706879,0.00204592943191528
8.02,-0.853427588939667,-0.00222623348236084
8.04,-0.853518784046173,-0.00448226928710938
8.06,-0.853606879711151,-0.00207871198654175
8.08,-0.853601932525635,-0.000450015068054199
8.1,-0.853624880313873,-0.00147521495819092
8.12,-0.853660941123962,-0.00238269567489624
8.14,-0.853720188140869,-0.00457465648651123
8.16,-0.853843927383423,-0.00763684511184692
8.18,-0.854025661945343,-0.00732541084289551
8.2,-0.854136943817139,-0.0036582350730896
8.22,-0.854171991348267,-0.00236630439758301
8.24,-0.854231595993042,-0.00502318143844604
8.26,-0.854372918605804,-0.00623762607574463
8.28,-0.854481101036072,-0.00491291284561157
8.3,-0.854569435119629,-0.00544041395187378
8.32,-0.854698717594147,-0.00795423984527588
8.34,-0.85488760471344,-0.00958889722824097
8.36,-0.855082273483276,-0.00933706760406494
8.38,-0.855261087417603,-0.00981688499450684
8.4,-0.855474948883057,-0.0129908323287964
8.42,-0.855780720710754,-0.0166982412338257
8.44,-0.85614287853241,-0.0171065330505371
8.46,-0.856464982032776,-0.0149458646774292
8.48,-0.856740713119507,-0.0148385763168335
8.5,-0.857058525085449,-0.016389787197113
8.52,-0.857396304607391,-0.0211447477340698
8.54,-0.857904314994812,-0.0243037939071655
8.56,-0.858368456363678,-0.0244408845901489
8.58,-0.858881950378418,-0.0258445739746094
8.6,-0.859402239322662,-0.0263229012489319
8.62,-0.859934866428375,-0.029696524143219
8.64,-0.860590100288391,-0.0337988138198853
8.66,-0.861286818981171,-0.0346586108207703
8.68,-0.861976444721222,-0.0377669930458069
8.7,-0.862797498703003,-0.043042004108429
8.72,-0.863698124885559,-0.0437155365943909
8.74,-0.864546120166779,-0.0415787100791931
8.76,-0.865361273288727,-0.0396251678466797
8.78,-0.866131126880646,-0.0419780611991882
8.8,-0.867040395736694,-0.0458523631095886
8.82,-0.867965221405029,-0.0459685921669006
8.84,-0.86887913942337,-0.041671097278595
