t,y,y_pred,error,A_est,B_est,C_est,omega_est,freq_est
50.52,0.303878628297962,0.310478081540262,-0.00659945324230055,-0.411796972629459,-0.456809049992158,-0.00108967366210244,5.03017468246631,0.800577165330218
50.53,0.277275813016489,0.283320867838686,-0.00604505482219742,-0.411741257322478,-0.456832788545747,-0.00112004550520582,5.03100753749012,0.800709718324136
50.54,0.249977962264461,0.255447409264502,-0.00546944700004073,-0.411691986055992,-0.456856772772502,-0.00114752547147723,5.03178005915549,0.800832668965826
50.55,0.222054165152805,0.226928523543895,-0.00487435839108966,-0.411649201854018,-0.456880327092589,-0.00117201567157792,5.03248369717324,0.800944656434499
50.56,0.193575078019028,0.197836780208849,-0.00426170218982061,-0.411612874704897,-0.456902774688066,-0.00119342782153074,5.03311060271685,0.801044431550615
50.57,0.164612745646831,0.168246308020914,-0.00363356237408333,-0.411582900841446,-0.456923445998483,-0.00121168410122882,5.03365373787818,0.801130874196308
50.58,0.13524041901454,0.138232595319888,-0.00299217630534773,-0.411559103120416,-0.456941687317468,-0.00122671792574068,5.03410697555926,0.801203009213647
50.59,0.105532370033407,0.107872284073363,-0.00233991403995629,-0.411541232527822,-0.456956869326943,-0.00123847461287098,5.03446518756904,0.80126002042568
50.6,0.0755637037441631,0.0772429585049982,-0.00167925476083508,-0.411528970808989,-0.456968395401422,-0.00124691193248465,5.0347243189162,0.801301262460489
50.61,0.0454101684466973,0.0464229292686112,-0.00101276082191396,-0.411521934193631,-0.456975709515927,-0.00125200052556754,5.03488144658155,0.801326270105126
50.62,0.0151479642430637,0.0154910142117746,-0.000343049968710839,-0.411519678158067,-0.456978303597491,-0.00125372418382139,5.03493482140869,0.801334764972703
50.63,-0.0151464495223862,-0.0154736831696516,0.000327233647265468,-0.411521703139846,-0.456975724171857,-0.00125207998368925,5.03488389215489,0.801326659330212
50.64,-0.0453965474394089,-0.0463919964457011,0.000995449006292261,-0.411527461095631,-0.456967578173475,-0.0012470782719906,5.03472931118282,0.8013020570044
50.65,-0.0755259313361893,-0.0771849189756836,0.00165898763949426,-0.411536362772178,-0.456953537807671,-0.00123874250371573,5.03447292173056,0.801261251355715
50.66,-0.105458523223792,-0.107773825485468,0.00231530226167596,-0.411547785543365,-0.456933344378036,-0.00122710893588393,5.03411772715416,0.801204720383122
50.67,-0.135118757393361,-0.138080691367846,0.00296193397448463,-0.411561081654177,-0.4569068110189,-0.00121222618460693,5.03366784297876,0.801133119092789
50.68,-0.1644317711808,-0.168028308619872,0.00359653743907173,-0.411575586705645,-0.456873824300962,-0.00119415465552279,5.03312843300175,0.801047269328594
50.69,-0.19332359391768,-0.197540497395523,0.00421690347784298,-0.411590628213289,-0.456834344706888,-0.00117296586048812,5.03250563105232,0.800948147319775
50.7,-0.221721333591162,-0.226542312232172,0.00482097864100967,-0.41160553407535,-0.456788406001634,-0.00114874163575674,5.03180645031169,0.800836869248789
50.71,-0.249553360742157,-0.254960242102937,0.00540688136077988,-0.411619640795938,-0.456736113548567,-0.00112157327877713,5.03103868232867,0.800714675179143
50.72,-0.276749489137771,-0.282722403551305,0.00597291441353376,-0.411632301321547,-0.456677641646097,-0.00109156062215439,5.03021078801935,0.800582911707458
50.73,-0.303241152762129,-0.309758726274101,0.00651757351197146,-0.411642892366511,-0.456613229979703,-0.00105881106422564,5.02933178301495,0.800443013716005
50.74,-0.32896157867938,-0.336001130632913,0.00703955195353212,-0.411650821123138,-0.456543179300413,-0.00102343857607563,5.02841111971837,0.800296485601431
50.75,-0.353845955333295,-0.361383696686693,0.00753774135339819,-0.411655531274556,-0.456467846452451,-0.000985562704683623,5.02745856835257,0.800144882343015
50.76,-0.377831595858789,-0.385842824446894,0.00801122858810532,-0.411656508251646,-0.456387638879789,-0.000945307591264707,5.0264840991384,0.799989790750689
50.77,-0.400858095994301,-0.409317385159104,0.0084592891648031,-0.411653283699106,-0.456303008743673,-0.000902801022791975,5.02549776753647,0.799832811200714
50.78,-0.422867486197135,-0.431748863508534,0.00888137731139815,-0.411645439138484,-0.456214446781036,-0.000858173533204629,5.02450960423735,0.799675540127077
50.79,-0.44380437757855,-0.453081490728489,0.0092771131499394,-0.411632608837386,-0.456122476027523,-0.000811557568987239,5.02352951130036,0.799519553491465
50.8,-0.463616101291399,-0.47326236866215,0.00964626737075125,-0.411614481913079,-0.456027645518978,-0.000763086731706819,5.02256716553608,0.799366391406116
50.81,-0.48225284101943,-0.492241584884899,0.00998874386546889,-0.411590803714905,-0.45593052407256,-0.000712895107790584,5.02163192991531,0.799217544034116
50.82,-0.499667758235194,-0.50997231903984,0.0103045608046462,-0.411561376542872,-0.455831694233599,-0.000661116693384208,5.02073277347966,0.799074438842769
50.83,-0.515817109911264,-0.526410940571036,0.0105938306597722,-0.411526059769184,-0.455731746457937,-0.00060788491961558,5.01987819993864,0.79893842923948
50.84,-0.530660358389328,-0.541517098060395,0.0108567396710672,-0.411484769435245,-0.455631273582259,-0.000553332281066151,5.0190761848748,0.798810784577637
50.85,-0.544160273130946,-0.555253800384011,0.0110935272530657,-0.411437477398911,-0.455530865617887,-0.000497590067776008,5.01833412125051,0.798692681483742
50.86,-0.556283024094774,-0.567587489905218,0.0113044658104439,-0.411384210105557,-0.455431104887063,-0.000440788198731269,5.01765877272429,0.798585196427484
50.87,-0.566998266505946,-0.578488107914831,0.0114898414088846,-0.411325047052287,-0.455332561505762,-0.000383055152544139,5.01705623414527,0.798489299434229
50.88,-0.576279216805206,-0.587929152516312,0.0116499357111055,-0.411260119007735,-0.455235789203861,-0.000324517988972469,5.01653189850358,0.798405848825015
50.89,-0.584102719587901,-0.595887729135946,0.0117850095480451,-0.411189606040747,-0.455141321462679,-0.00026530245306435,5.01609042957304,0.798335586862499
50.9,-0.590449305365332,-0.602344593816499,0.0118952884511667,-0.411113735400589,-0.455049667941581,-0.000205533152073892,5.01573573948847,0.798279136182273
50.91,-0.59530323900454,-0.607284189429298,0.0119809504247584,-0.411032779279454,-0.454961311159931,-0.000145333793892188,5.01547097055008,0.798236996896952
50.92,-0.598652558726017,-0.610694674914094,0.0120421161880773,-0.410947052475851,-0.454876703398074,-8.48274745822563e-05,5.01529848063738,0.798209544274711
50.93,-0.6004891055627,-0.612567947629666,0.0120788420669662,-0.410856909965231,-0.454796263781336,-2.41370017044152e-05,5.01521983173815,0.798197026913631
50.94,-0.600808543207749,-0.612899658871441,0.0120911156636918,-0.41076274437275,-0.454720375514075,3.66147605276805e-05,5.01523578124833,0.798199565357015
50.95,-0.599610368202943,-0.611689222585453,0.0120788543825099,-0.410664983332734,-0.454649383236347,9.73045386086484e-05,5.01534627586693,0.79821715112175
50.96,-0.596897910443839,-0.608939817281086,0.012041906837247,-0.41056408671072,-0.454583590483554,0.000157808304099923,5.01555044808995,0.798249646140286
50.97,-0.592678324002374,-0.604658381118307,0.011980057115933,-0.410460543657374,-0.454523257238994,0.00021800094933805,5.0158466154879,0.798296782645652
50.98,-0.586962568292046,-0.598855600118515,0.0118930318264696,-0.41035486945931,-0.454468597580261,0.000277755998462718,5.01623228312628,0.798358163556692
50.99,-0.579765379625154,-0.591545889421769,0.0117805097966146,-0.410247602150264,-0.454419777432284,0.000336945367097257,5.0167041496475,0.798433263446023
51,-0.571105233235843,-0.582747367487048,0.0116421342512052,-0.410139298847264,-0.454376912452017,0.000395439183124536,5.01725811766831,0.79852143019485
51.01,-0.561004295866825,-0.57248182310693,0.0114775272401052,-0.410030531780506,-0.454340066081789,0.000453105679863567,5.01788930925227,0.798621887455475
51.02,-0.549488369041504,-0.560774675083517,0.0112863060420131,-0.409921883992473,-0.454309247819539,0.00050981117157222,5.01859208728396,0.798733738053115
51.03,-0.536586823166327,-0.547654924389785,0.0110681012234585,-0.409813944691427,-0.454284411763988,0.000565420119592124,5.01936008359715,0.798855968462635
51.04,-0.522332522632079,-0.533155098620238,0.0108225759881586,-0.409707304256273,-0.454265455500745,0.000619795295621332,5.02018623468658,0.798987454492259
51.05,-0.506761742104853,-0.517311188517969,0.0105494464131154,-0.409602548903837,-0.454252219400905,0.000672798046575534,5.02106282576249,0.79912696829506
51.06,-0.489914074219882,-0.50016257635308,0.010248502133198,-0.409500255045133,-0.454244486406352,0.000724288663300422,5.02198154378525,0.79927318680969
51.07,-0.471832328913142,-0.481751955921288,0.00991962700814547,-0.409400983373766,-0.454241982375534,0.000774126853060183,5.02293353994806,0.799424701704806
51.08,-0.45256242464676,-0.462125243933035,0.00956281928627445,-0.409305272746634,-0.454244377059553,0.000822172313291001,5.02390950186022,0.799580030867396
51.09,-0.432153271804537,-0.441331482573272,0.00917821076873454,-0.409213633933692,-0.454251285770944,0.000868285401619725,5.02489973542839,0.799737631434585
51.1,-0.410656648553577,-0.419422733032662,0.00876608447908422,-0.409126543329209,-0.454262271796553,0.000912327894663565,5.02589425614584,0.799895914322775
51.11,-0.388127069487129,-0.396453959841981,0.00832689035485185,-0.409044436730729,-0.454276849591572,0.000954163825701357,5.02688288918903,0.800053260158502
51.12,-0.36462164738213,-0.372482905885545,0.00786125850341485,-0.408967703303324,-0.454294488774435,0.000993660389009732,5.02785537739816,0.800208036464084
51.13,-0.34019994842158,-0.347569958025307,0.00737000960372719,-0.408896679854829,-0.454314618922342,0.00103068889655602,5.02880149589653,0.80035861589985
51.14,-0.31492384124895,-0.321778003335578,0.00685416208662742,-0.408831645552212,-0.454336635145352,0.00106512577089406,5.02971117179437,0.800503395315604
51.15,-0.288857340237238,-0.295172276029543,0.00631493579230502,-0.408772817209423,-0.454359904393913,0.00109685355659262,5.03057460714179,0.800640815319186
51.16,-0.262066443369591,-0.267820195249708,0.00575375188011656,-0.408720345272826,-0.454383772431373,0.00112576193139328,5.03138240305371,0.800769380031576
51.17,-0.234618965141947,-0.239791193995044,0.00517222885309762,-0.408674310621436,-0.454407571380152,0.0011517486975974,5.03212568274125,0.800887676667949
51.18,-0.206584364910853,-0.211156539565878,0.00457217465502494,-0.408634722285793,-0.454430627729055,0.0011747207339641,5.03279621105842,0.800994394564109
51.19,-0.178033571121075,-0.181989146018898,0.00395557489782256,-0.408601516171654,-0.454452270670285,0.0011945948886832,5.0333865081188,0.801088343259161
51.2,-0.149038801857672,-0.152363379238121,0.00332457738044831,-0.408574554853268,-0.454471840619258,0.00121129879478848,5.03388995456098,0.801168469249017
51.21,-0.119673382176405,-0.122354855338569,0.00268147316216331,-0.408553628476481,-0.454488697758824,0.00122477159068849,5.03430088614456,0.801233871041816
51.22,-0.0900115586745943,-0.0920402332241397,0.00202867454954533,-0.408538456785127,-0.454502230442718,0.0012349645302888,5.03461467554146,0.801283812175423
51.23,-0.060128311771693,-0.0614970022172209,0.00136869044552784,-0.408528692256063,-0.454511863291402,0.00124184146942346,5.03482779944459,0.801317731898097
51.24,-0.030099166173583,-0.0308032657603697,0.000704099586786758,-0.408523924299841,-0.454517064817038,0.00124537921795105,5.03493788944049,0.801335253265128
51.25,-1.87835544135015e-14,-3.75222572968625e-05,3.7522257278079e-05,-0.408523684456464,-0.454517354423308,0.00124556774981773,5.03494376547272,0.801336188464704
51.26,0.0300931469422879,0.0307215558299289,-0.000628408887640982,-0.408527452490007,-0.45451230863969,0.00124241026657388,5.03484545114604,0.801320541253636
51.27,0.0601042652566384,0.0613953434822029,-0.00129107822556451,-0.40853466326311,-0.454501566468354,0.00123592311314953,5.03464417057052,0.801288506455093
51.28,0.0899575679382267,0.0919054840700211,-0.00194791613179443,-0.408544714253312,-0.454484833744229,0.00122613554805092,5.03434232690466,0.801240466543631
51.29,0.119577681755933,0.122174108605646,-0.0025964268497132,-0.40855697355867,-0.454461886434198,0.00121308937343289,5.03394346320828,0.801176985414733
51.3,0.148889837550412,0.15212405219598,-0.00323421464556878,-0.408570788230491,-0.454432572828854,0.00119683843362723,5.03345220664307,0.801098799504053
51.31,0.177820058968639,0.181679066645082,-0.00385900767644234,-0.408585492766783,-0.454396814608687,0.00117744799358349,5.03287419744589,0.801006806483169
51.32,0.206295349158176,0.210764028227959,-0.00446867906978377,-0.40860041760101,-0.454354606794889,0.00115499401120646,5.0322160044326,0.800902051811596
51.33,0.234243874949889,0.2393051397426,-0.00506126479271041,-0.408614897427,-0.454306016622122,0.00112956231970219,5.03148502905752,0.800785713467372
51.34,0.261595148064578,0.26723012604721,-0.00563497798263252,-0.408628279211787,-0.454251181395564,0.00110124773770333,5.03068940024791,0.800659085209458
51.35,0.288280202886491,0.29446842239543,-0.00618821950893927,-0.408639929763351,-0.454190305416509,0.00107015312611015,5.02983786234899,0.800523558743614
51.36,0.314231770355289,0.320951354994706,-0.00671958463941746,-0.408649242738789,-0.45412365607899,0.00103638841122632,5.02893965855158,0.800380605169352
51.37,0.339384447537866,0.346612313325244,-0.00722786578737855,-0.408655644999592,-0.454051559253898,0.00100006959389673,5.02800441213507,0.800231756079156
