TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,F,P,X,Y
924820014,-0.09770273417234421,-0.46417298913002014,5.577931880950928,-0.03604372218251228,0.0937211811542511,0.05500710383057594,-0.018763886764645576,-0.22563084959983826,0.02787972055375576,0.3936535716056824,194.7851104736328,8.433992385864258,-0.1975928694009781
924830399,0.017588190734386444,-0.5465476512908936,5.619532585144043,-0.039204977452754974,0.09998145699501038,0.0494825579226017,-0.007823554798960686,-0.22491323947906494,0.026458635926246643,0.3936535716056824,194.7851104736328,8.523958206176758,-0.07808663696050644
924840365,-0.07300717383623123,-0.5177459716796875,5.651420593261719,-0.04135315865278244,0.10597719997167587,0.045949678868055344,0.0020369875710457563,-0.22444042563438416,0.025138981640338898,0.3936535716056824,194.7851104736328,8.586727142333984,0.0192229226231575
924850012,-0.15132935345172882,-0.3876135051250458,5.649097442626953,-0.042564112693071365,0.11043412983417511,0.04406280815601349,0.00898163765668869,-0.22417931258678436,0.024177929386496544,0.3936535716056824,194.7851104736328,8.622030258178711,0.08115594834089279
924860114,-0.12729687988758087,0.14391978085041046,5.677621364593506,-0.04406585171818733,0.10830458998680115,0.041870903223752975,0.005873404908925295,-0.22386068105697632,0.024629758670926094,0.3935375511646271,195.94412231445312,8.664864540100098,0.05418165400624275
924870027,-0.13727815449237823,0.19113855063915253,5.610741138458252,-0.04251132532954216,0.10935578495264053,0.0409252755343914,0.0052339546382427216,-0.22294335067272186,0.02525007724761963,0.3935375511646271,195.94412231445312,8.65833568572998,0.04782950133085251
924880346,-0.15739548206329346,0.15884606540203094,5.6168951988220215,-0.04130083695054054,0.1100243479013443,0.04002632945775986,0.004737457260489464,-0.2222135066986084,0.025653177872300148,0.3935375511646271,195.94412231445312,8.654998779296875,0.043035972863435745
924890302,-0.03834094852209091,0.3211745321750641,5.709105968475342,-0.03915168344974518,0.11210408061742783,0.03809131681919098,0.002864951267838478,-0.220880925655365,0.026942716911435127,0.3935375511646271,195.94412231445312,8.653055191040039,0.025554902851581573
924900043,0.03723248094320297,-0.0702185109257698,5.706760406494141,-0.036627259105443954,0.11081556975841522,0.03534300997853279,0.004267739597707987,-0.21925820410251617,0.0261144507676363,0.3935375511646271,195.94412231445312,8.657171249389648,0.038497358560562134
924910010,0.06662382185459137,-0.47300976514816284,5.604331970214844,-0.034165989607572556,0.10673574358224869,0.03215954080224037,0.009544692933559418,-0.217609703540802,0.023381881415843964,0.3935375511646271,195.94412231445312,8.669570922851562,0.08919065445661545
924920036,-0.15155944228172302,-0.32475027441978455,5.596859931945801,-0.03345360979437828,0.10420695692300797,0.031014202162623405,0.013610396534204483,-0.21710067987442017,0.0215749628841877,0.3935375511646271,195.94412231445312,8.677149772644043,0.12987841665744781
924930396,-0.2369079291820526,-0.19194549322128296,5.58756160736084,-0.033323295414447784,0.10280966758728027,0.03075578063726425,0.01638130284845829,-0.2170001119375229,0.02049659565091133,0.3935375511646271,195.94412231445312,8.679374694824219,0.1580122709274292
924941013,0.0415031798183918,-0.07887174189090729,5.795587062835693,-0.031912971287965775,0.1021963432431221,0.02723860554397106,0.017910849303007126,-0.21579572558403015,0.01997283473610878,0.3935375511646271,195.94412231445312,8.71818733215332,0.17350144684314728
924950125,-0.03469429165124893,0.3879668712615967,5.905745506286621,-0.031076764687895775,0.10350041836500168,0.024535099044442177,0.013694697059690952,-0.21497759222984314,0.02124871499836445,0.3935375511646271,195.94412231445312,8.756420135498047,0.13155552744865417
924960048,-0.07167048752307892,0.6163865923881531,5.8567986488342285,-0.03055415116250515,0.105169877409935,0.02223077416419983,0.006333664525300264,-0.2143590748310089,0.023224521428346634,0.3935375511646271,195.94412231445312,8.795724868774414,0.06015482544898987
924969990,0.007521538995206356,0.06320810317993164,5.8474273681640625,-0.030011313036084175,0.10518888384103775,0.018815333023667336,0.006214096676558256,-0.21353375911712646,0.023253414779901505,0.3935375511646271,195.94412231445312,8.864731788635254,0.0590113140642643
