TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,PRX,PRY,PRZ,ERR,EST_FREQ,CORR
185771707,0.35180532932281494,-0.09924707561731339,5.838085174560547,-0.21183595061302185,-0.06782008707523346,0.02351137064397335,0.03634637966752052,0.23730310797691345,-0.007986532524228096,0.3197925090789795,0.04606419801712036,4.3881916999816895,-8.1351310655009e-05,0.5793868899345398,0.0006639748462475836
185781937,0.11744756251573563,0.4322907328605652,6.164412021636963,-0.21378447115421295,-0.06394321471452713,0.018834402784705162,0.04565192759037018,0.23435424268245697,-0.002119319047778845,0.3055878281593323,0.05795661360025406,4.445527076721191,-0.00013335263065528125,0.5793785452842712,0.0006639748462475836
185791733,0.3982953131198883,0.5741286873817444,6.6137495040893555,-0.212711364030838,-0.0583907850086689,0.021211473271250725,0.057951297610998154,0.23586705327033997,0.005708223674446344,0.30177977681159973,0.07474061101675034,4.516928672790527,-0.00024104332260321826,0.5793612003326416,0.0006639748462475836
185801790,0.18692049384117126,0.13807813823223114,6.412761211395264,-0.21393939852714539,-0.057647526264190674,0.01868920959532261,0.05947788804769516,0.23424528539180756,0.00668979249894619,0.29044729471206665,0.07541894912719727,4.57860803604126,-0.000250632205279544,0.5793596506118774,0.0006639748462475836
185812380,0.15859933197498322,0.09621883183717728,6.126336097717285,-0.21544954180717468,-0.0573698952794075,0.015821587294340134,0.06000508368015289,0.2323785275220871,0.00703298719599843,0.27760428190231323,0.07434041798114777,4.626850605010986,0.00011890911991940811,0.5794190764427185,0.0006639748462475836
185821771,0.2064395248889923,-0.045270953327417374,6.004386901855469,-0.21627165377140045,-0.05888023227453232,0.014353262260556221,0.05730754882097244,0.2314121127128601,0.005257525481283665,0.2683197557926178,0.06841231137514114,4.669815540313721,4.182913835393265e-05,0.5794066786766052,0.0006639748462475836
185831885,0.11735110729932785,-0.16916809976100922,5.609712600708008,-0.21819846332073212,-0.06205131113529205,0.011130434460937977,0.052003514021635056,0.22926270961761475,0.001720105647109449,0.2552885413169861,0.05784524232149124,4.695428371429443,1.3431253137241583e-05,0.5794021487236023,0.0006639748462475836
185841719,0.1665581464767456,-0.32181090116500854,5.678618431091309,-0.21933752298355103,-0.06737185269594193,0.009342064149677753,0.043650075793266296,0.22805286943912506,-0.003931055311113596,0.24441446363925934,0.04185422509908676,4.721683025360107,-6.364873115671799e-05,0.579389750957489,0.0006639748462475836
185851736,-0.06433101743459702,-0.1555212438106537,5.769899845123291,-0.22376154363155365,-0.07023932784795761,0.00280957599170506,0.03941597416996956,0.2235652506351471,-0.006839755456894636,0.22539672255516052,0.03226882219314575,4.7493720054626465,-8.50393480504863e-05,0.579386293888092,0.0006639748462475836
185861922,-0.1488717943429947,0.44362708926200867,5.599540710449219,-0.2293640524148941,-0.06390500068664551,-0.004983066581189632,0.04822652414441109,0.2181229442358017,-0.0006865458562970161,0.20379391312599182,0.044894780963659286,4.768825531005859,-0.00017945309809874743,0.5793710947036743,0.0006639748462475836
185871713,0.11429926007986069,0.40371233224868774,5.710397243499756,-0.23065249621868134,-0.058170877397060394,-0.0066733830608427525,0.055749181658029556,0.2169213891029358,0.004660933278501034,0.19248327612876892,0.055758845061063766,4.7905449867248535,-0.00021965270570944995,0.5793646574020386,0.0006639748462475836
185882422,0.08916689455509186,0.018428601324558258,5.59154748916626,-0.23220762610435486,-0.0587456077337265,-0.008588931523263454,0.055041246116161346,0.21553102135658264,0.004147092346101999,0.1798427700996399,0.05193989351391792,4.804606914520264,0.00015542069741059095,0.5794249773025513,0.0006639748462475836
185891707,0.11025527864694595,0.151411771774292,5.735293865203857,-0.23325906693935394,-0.05702463164925575,-0.009833984076976776,0.05707912519574165,0.2146071344614029,0.005659300833940506,0.1700281798839569,0.0535765141248703,4.825532913208008,0.00012185954983578995,0.5794195532798767,0.0006639748462475836
185901724,0.17024458944797516,-0.03160957992076874,6.0164408683776855,-0.23311050236225128,-0.058466970920562744,-0.009665180929005146,0.05544036999344826,0.21473564207553864,0.004411743488162756,0.1620383858680725,0.04805684834718704,4.854189395904541,3.297784860478714e-05,0.5794052481651306,0.0006639748462475836
185911882,-0.017771601676940918,-0.20669998228549957,6.140121936798096,-0.23617739975452423,-0.06297624111175537,-0.01301033515483141,0.05052199214696884,0.21212218701839447,0.0005691847181878984,0.14724722504615784,0.03592704236507416,4.885998249053955,1.1218429790460505e-05,0.5794017910957336,0.0006639748462475836
185921824,0.07622689753770828,-0.3137258291244507,6.329986095428467,-0.2373262196779251,-0.06932541728019714,-0.014213640242815018,0.043871719390153885,0.21115709841251373,-0.004764537792652845,0.13658839464187622,0.01987256295979023,4.923410892486572,-5.922308628214523e-05,0.5793904662132263,0.0006639748462475836
185931882,-0.13100193440914154,-0.26991239190101624,6.058629512786865,-0.2421749085187912,-0.07468803972005844,-0.019091211259365082,0.03847714886069298,0.20713980495929718,-0.009207651019096375,0.11832504719495773,0.005842011421918869,4.948325157165527,-0.00012450134090613574,0.5793799757957458,0.0006639748462475836
185941762,-0.11445319652557373,0.08952676504850388,5.575786113739014,-0.2464543879032135,-0.0730360820889473,-0.02322547137737274,0.040073052048683167,0.20364174246788025,-0.00785733386874199,0.10135353356599808,0.006221337243914604,4.952526569366455,-0.00012745177082251757,0.5793794989585876,0.0006639748462475836
185951606,0.1013021320104599,0.16530239582061768,5.438982963562012,-0.24629762768745422,-0.06989375501871109,-0.023080071434378624,0.042987603694200516,0.20376817882061005,-0.005322900600731373,0.0935349389910698,0.009608532302081585,4.949948787689209,-0.0002167022757930681,0.5793651342391968,0.0006639748462475836
