TimeUS,DPE,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
317829426,-0.7286736965179443,-0.7286736965179443,-0.8412492871284485,-0.020236581563949585,0.43006575107574463,-0.010913853533565998,0.0036501639988273382,0.19437271356582642,0.39390116930007935
317929394,-0.7306791543960571,-0.7306791543960571,-0.845872163772583,-0.019872944802045822,0.4408991038799286,0.001438999199308455,0.0036219246685504913,0.19639745354652405,0.3370969593524933
318029332,-0.7326483726501465,-0.7326483726501465,-0.8473736643791199,-0.019512144848704338,0.43938884139060974,0.04033579304814339,0.0035932634491473436,-0.1017969399690628,0.2201644331216812
318129354,-0.7345816493034363,-0.7345816493034363,-0.8467069864273071,-0.019154231995344162,0.4293469488620758,0.05355670303106308,0.0035642008297145367,-0.08303855359554291,0.08260675519704819
318229355,-0.7364793419837952,-0.7364793419837952,-0.8449944257736206,-0.018799245357513428,0.41526105999946594,0.06155494600534439,0.0035347556695342064,-0.08988145738840103,0.010108335874974728
318329319,-0.7383416295051575,-0.7383416295051575,-0.8436797857284546,-0.01844722032546997,0.4029053747653961,0.05327233299612999,0.003504946129396558,0.03493762016296387,-0.03675895184278488
318429395,-0.7401688694953918,-0.7401688694953918,-0.8429058790206909,-0.018098194152116776,0.39284977316856384,0.052157580852508545,0.003474791068583727,0.014328062534332275,-0.021427571773529053
318529441,-0.7419614195823669,-0.7419614195823669,-0.8436757326126099,-0.01775219850242138,0.3891052305698395,0.04048904404044151,0.0034443079493939877,0.17376229166984558,0.019788695499300957
318629470,-0.7437193989753723,-0.7437193989753723,-0.8458597660064697,-0.017409270629286766,0.39115196466445923,0.0398859977722168,0.003413514466956258,0.1270744502544403,0.1066761463880539
318729366,-0.7454433441162109,-0.7454433441162109,-0.8483754396438599,-0.017069432884454727,0.39465904235839844,0.04077278450131416,0.003382427617907524,0.068185955286026,0.1218055859208107
